id	jp_id_ref	category	source_file	offset	record_index	chunk_id	issues	auto_changes	strategy	prefix_len	prefix_hex	prefix_text	expected_tokens	tokens_before	tokens_after	encoded_len_after	payload_capacity_after	capacity_delta_after	missing_chars	adjusted_jp_text	zh_text_before	zh_text_after
zh_txt_8e6f34f1_000192_0008	txt_8e6f34f1_000192_0008	message	msg/eiga/039.m	0x192	8	chunk_0050	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	35 00 00 00 02 02 00 00 35 00	5{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3500 CTRL_8100		10	14	4		「クゥ～ン？」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_8100}呜～？」	「呜～？」
zh_txt_8e6f34f1_0004C8_0019	txt_8e6f34f1_0004C8_0019	message	msg/eiga/039.m	0x4C8	19	chunk_0050	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	35 00 00 00 02 02 00 00 35 00	5{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3500 CTRL_8100		10	18	8		「キューン・・・」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_8100}呜……」	「呜……」
zh_txt_eec11121_0000DE_0003	txt_eec11121_0000DE_0003	message	msg/eiga/046.m	0xDE	3	chunk_0057	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	35 00 00 00 02 02 00 00 35 00	5{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3500 CTRL_8100		10	14	4		「ワンワン！」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3500}{CTRL_8100}汪汪！」	「汪汪！」
zh_txt_7532c24d_00008A_0002	txt_7532c24d_00008A_0002	message	msg/eiga/069.m	0x8A	2	chunk_0080	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	2	46 00	F{CTRL_00}		CTRL_8100		16	20	4		「綱手さまーー！！」	{CTRL_8100}纲手大人！！」	「纲手大人！！」
zh_txt_7532c24d_0000DE_0004	txt_7532c24d_0000DE_0004	message	msg/eiga/069.m	0xDE	4	chunk_0080	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	36 00 04 00 02 02 00 00 36 00	6{CTRL_0400}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_00}	CTRL_0001	CTRL_0400 CTRL_0200 CTRL_0002 CTRL_3600 CTRL_8100 CTRL_0001	CTRL_0001	44	68	24		「あー！！　いた！！　えいがなんか{CTRL_0001}みてるばあいじゃ　ないですよ！」	{CTRL_0400}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_8100}啊！！找到了！！现在可不是{CTRL_0001}看电影的时候！	「啊！！找到了！！现在可不是{CTRL_0001}看电影的时候！
zh_txt_7532c24d_0001EE_0008	txt_7532c24d_0001EE_0008	message	msg/eiga/069.m	0x1EE	8	chunk_0080	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	36 00 00 00 02 02 00 00 36 00	6{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3600 CTRL_8100		22	34	12		「・・・そうですか　わかりました」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_8100}……是吗，我明白了」	「……是吗，我明白了」
zh_txt_7532c24d_00026A_0010	txt_7532c24d_00026A_0010	message	msg/eiga/069.m	0x26A	10	chunk_0080	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	36 00 00 00 02 02 00 00 36 00	6{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_00}	CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3600 CTRL_8100 CTRL_0001	CTRL_0001	52	80	28		「そういうと　おもって・・・{CTRL_0001}おしごと　ぜんぶ　ここへ　もってきて　おきました」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_8100}我就知道您会这么说……{CTRL_0001}所以把工作全搬到这里来了」	「我就知道您会这么说……{CTRL_0001}所以把工作全搬到这里来了」
zh_txt_7532c24d_000300_0012	txt_7532c24d_000300_0012	message	msg/eiga/069.m	0x300	12	chunk_0080	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	36 00 00 00 02 02 00 00 36 00	6{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_00}	CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3600 CTRL_8100 CTRL_0001	CTRL_0001	42	72	30		「えいがを　みて　りゅうこうを　しらべながら{CTRL_0001}ちゃんと　しごとも　する」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3600}{CTRL_8100}一边看电影了解流行趋势{CTRL_0001}一边也好好工作」	「一边看电影了解流行趋势{CTRL_0001}一边也好好工作」
zh_txt_d53c9309_0002CA_0011	txt_d53c9309_0002CA_0011	message	msg/eiga/075.m	0x2CA	11	chunk_0085	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue	strip_prefix_before_open_quote_exact_body_controls	20	3C 00 01 05 00 00 00 00 F8 FF 37 00 00 00 02 02 00 00 37 00	<{CTRL_0100}{CTRL_0005}{CTRL_0000}{CTRL_F800}7{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_00}	CTRL_0001	CTRL_0100 CTRL_0005 CTRL_0000 CTRL_F800 CTRL_37FF CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3700 CTRL_8100 CTRL_0001	CTRL_0001	36	64	28		「お？　どうした　どうした？{CTRL_0001}なにを　しょげてんだ？　おまえら」	{CTRL_0100}{CTRL_0005}{CTRL_0000}{CTRL_F800}{CTRL_37FF}{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_8100}「哦？怎么了？{CTRL_0001}你们怎么垂头丧气的」	「哦？怎么了？{CTRL_0001}你们怎么垂头丧气的」
zh_txt_d53c9309_00037E_0013	txt_d53c9309_00037E_0013	message	msg/eiga/075.m	0x37E	13	chunk_0085	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	37 00 00 00 02 02 00 00 37 00	7{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3700 CTRL_8100		22	38	16		「よし！　じゃあ　いいものを　やろう」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_8100}好！那给你们好东西」	「好！那给你们好东西」
zh_txt_d53c9309_00041A_0015	txt_d53c9309_00041A_0015	message	msg/eiga/075.m	0x41A	15	chunk_0085	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	37 00 00 00 02 02 00 00 37 00	7{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_00}	CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3700 CTRL_8100 CTRL_0001	CTRL_0001	38	70	32		「任務（にんむ）の　おれいに　もらったんだよ！{CTRL_0001}すきなだけ　くえ！！」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3700}{CTRL_8100}这是任务谢礼！{CTRL_0001}想吃多少吃多少！！」	「这是任务谢礼！{CTRL_0001}想吃多少吃多少！！」
zh_txt_84c209a4_00012C_0004	txt_84c209a4_00012C_0004	message	msg/eiga/076.m	0x12C	4	chunk_0086	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	38 00 00 00 02 02 00 00 38 00	8{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3800 CTRL_8100		16	26	10		「あら　あなたたち・・・」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_8100}哎呀，你们…」	「哎呀，你们…」
zh_txt_84c209a4_0001B2_0006	txt_84c209a4_0001B2_0006	message	msg/eiga/076.m	0x1B2	6	chunk_0086	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	38 00 00 00 02 02 00 00 38 00	8{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_00}		CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3800 CTRL_8100		26	54	28		「ええ　そうよ！　・・・となりの　せき　いいかしら？」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_8100}是啊！…我能坐旁边吗？」	「是啊！…我能坐旁边吗？」
zh_txt_84c209a4_000224_0008	txt_84c209a4_000224_0008	message	msg/eiga/076.m	0x224	8	chunk_0086	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	38 00 00 00 02 02 00 00 38 00	8{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_00}	CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3800 CTRL_8100 CTRL_0001	CTRL_0001	46	84	38		「ふふっ　なんだか　班の　みんなで{CTRL_0001}こうやって　えいがを　みるのって　たのしいわね」	{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3800}{CTRL_8100}呵呵，和班里的大家{CTRL_0001}这样一起看电影真开心呢」	「呵呵，和班里的大家{CTRL_0001}这样一起看电影真开心呢」
zh_txt_c94c74c7_0007CA_0027	txt_c94c74c7_0007CA_0027	message	msg/eiga/msg_eiga_fail.msg	0x7CA	27	chunk_0099	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	4F 00 02 00 02 02 00 00 4F 00	O{CTRL_0200}{CTRL_0200}{CTRL_0002}{CTRL_4F00}{CTRL_00}		CTRL_0200 CTRL_0200 CTRL_0002 CTRL_4F00 CTRL_8100		28	42	14		「フフッ・・・　たまには　いいものですね」	{CTRL_0200}{CTRL_0200}{CTRL_0002}{CTRL_4F00}{CTRL_8100}呵呵……偶尔看看也不错呢」	「呵呵……偶尔看看也不错呢」
zh_txt_08033e0a_0005CC_0016	txt_08033e0a_0005CC_0016	message	msg/fld/000.m	0x5CC	16	chunk_0102	auto_adjusted_structure_residue	add_open_quote	strip_prefix_before_open_quote	30	82 D4 82 AB 01 00 82 DA 82 A4 82 AE 01 00 82 A4 82 E9 01 00 82 E2 82 DF 82 E9 06 00 00 00	ぶき{CTRL_0001}ぼうぐ{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}	CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0000	CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0000	CTRL_0001 CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0001 CTRL_0000 CTRL_0000	184	316	132		「ぶき{CTRL_0001}ぼうぐ{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}「ぶきを　かってくれるのか？{CTRL_0001}しつの　いいものばかりだぜ！」{CTRL_0000}「ぼうぐを　かってくれるのか？{CTRL_0001}きゃはんも　あるから　みていってくれ！」{CTRL_0000}「いらない　そうびや　どうぐが　あるなら　かいとるぜ！{CTRL_0001}おっと　しのび札は　ここじゃ　かいとれねぇぜ！」{CTRL_0000}「かいものメニューを　しゅうりょうします」{CTRL_0000}うれるものを　もっていません！	武器{CTRL_0001}防具{CTRL_0001}卖出{CTRL_0001}退出{CTRL_0006}{CTRL_0000}「要买武器吗？{CTRL_0001}都是好货！」{CTRL_0000}「要买防具吗？{CTRL_0001}也有护腿，看看吧！」{CTRL_0000}「有不要的装备或道具，我会收！{CTRL_0001}不过忍札这里不收！」{CTRL_0000}「结束购物菜单」{CTRL_0000}没有可卖的东西！	「武器{CTRL_0001}防具{CTRL_0001}卖出{CTRL_0001}退出{CTRL_0006}{CTRL_0000}「要买武器吗？{CTRL_0001}都是好货！」{CTRL_0000}「要买防具吗？{CTRL_0001}也有护腿，看看吧！」{CTRL_0000}「有不要的装备或道具，我会收！{CTRL_0001}不过忍札这里不收！」{CTRL_0000}「结束购物菜单」{CTRL_0000}没有可卖的东西！
zh_txt_4dc3cb5a_000126_0004	txt_4dc3cb5a_000126_0004	message	msg/fld/001.m	0x126	4	chunk_0103	auto_adjusted_structure_residue	add_open_quote	strip_prefix_before_open_quote	22	82 A9 82 A4 01 00 82 A4 82 E9 01 00 82 E2 82 DF 82 E9 06 00 00 00	かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	44	58	14		「かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}「なにか　どうぐを　かわれますか？{CTRL_0001}いろいろ　ありますよ」	买{CTRL_0001}卖{CTRL_0001}退出{CTRL_0006}{CTRL_0000}「要买道具吗？{CTRL_0001}有很多哦」	「买{CTRL_0001}卖{CTRL_0001}退出{CTRL_0006}{CTRL_0000}「要买道具吗？{CTRL_0001}有很多哦」
zh_txt_fd9564ad_00049C_0014	txt_fd9564ad_00049C_0014	message	msg/fld/002.m	0x49C	14	chunk_0104	auto_adjusted_structure_residue	add_open_quote	strip_prefix_before_open_quote	22	82 A9 82 A4 01 00 82 A4 82 E9 01 00 82 E2 82 DF 82 E9 06 00 00 00	かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	46	66	20		「かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}「しのび札を　かってくれるのか？{CTRL_0001}たくさん　かっていってくれよ！」	买{CTRL_0001}卖{CTRL_0001}离开{CTRL_0006}{CTRL_0000}「要买忍札吗？{CTRL_0001}多买点吧！」	「买{CTRL_0001}卖{CTRL_0001}离开{CTRL_0006}{CTRL_0000}「要买忍札吗？{CTRL_0001}多买点吧！」
zh_txt_6fae3ea4_00015E_0005	txt_6fae3ea4_00015E_0005	message	msg/fld/006.m	0x15E	5	chunk_0108	auto_adjusted_structure_residue	add_open_quote	strip_prefix_before_open_quote	22	82 A9 82 A4 01 00 82 A4 82 E9 01 00 82 E2 82 DF 82 E9 06 00 00 00	かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	CTRL_0001 CTRL_0001 CTRL_0006 CTRL_0000 CTRL_0001	62	68	6		「かう{CTRL_0001}うる{CTRL_0001}やめる{CTRL_0006}{CTRL_0000}「このみせ　じまんの　あまぐりだ！{CTRL_0001}たくさん　かっていってくれよ！」	购买{CTRL_0001}出售{CTRL_0001}关闭{CTRL_0006}{CTRL_0000}「这是本店引以为傲的甘栗！{CTRL_0001}多买点吧！」	「购买{CTRL_0001}出售{CTRL_0001}关闭{CTRL_0006}{CTRL_0000}「这是本店引以为傲的甘栗！{CTRL_0001}多买点吧！」
zh_txt_0d5c73a4_000010_0000	txt_0d5c73a4_000010_0000	message	msg/fld/011.m	0x10	0	chunk_0113	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	3B 00 00 00 02 02 00 00 3B 00	;{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3B00}{CTRL_00}	CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3B00 CTRL_8100 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	62	96	34		「よっ　このホールでは　{CTRL_0103}{CTRL_0002}“ナルトえいが”{CTRL_0103}{CTRL_0000}シリーズを{CTRL_0001}じょうえいしてるぜ　みていくのか？」	;{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3B00}{CTRL_8100}u喂，这个大厅在{CTRL_0103}{CTRL_0002}“鸣人电影”{CTRL_0103}{CTRL_0000}系列{CTRL_0001}上映呢！要去看吗？」	「喂，这个大厅在{CTRL_0103}{CTRL_0002}“鸣人电影”{CTRL_0103}{CTRL_0000}系列{CTRL_0001}上映呢！要去看吗？」
zh_txt_0d5c73a4_000086_0001	txt_0d5c73a4_000086_0001	message	msg/fld/011.m	0x86	1	chunk_0113	auto_adjusted_structure_residue control_tokens_before_mismatch	strip_leading_structure_residue add_open_quote	strip_prefix_before_open_quote_exact_body_controls	10	3C 00 00 00 02 02 00 00 3C 00	<{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3C00}{CTRL_00}	CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	CTRL_0000 CTRL_0200 CTRL_0002 CTRL_3C00 CTRL_8100 CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	CTRL_0103 CTRL_0002 CTRL_0103 CTRL_0000 CTRL_0001	42	84	42		「このホールでは　{CTRL_0103}{CTRL_0002}“イチャイチャパラダイス”{CTRL_0103}{CTRL_0000}を{CTRL_0001}じょうえいしておりますぞ！」	<{CTRL_0000}{CTRL_0200}{CTRL_0002}{CTRL_3C00}{CTRL_8100}u本厅正在{CTRL_0103}{CTRL_0002}“亲热天堂”{CTRL_0103}{CTRL_0000}{CTRL_0001}上映哦！」	「本厅正在{CTRL_0103}{CTRL_0002}“亲热天堂”{CTRL_0103}{CTRL_0000}{CTRL_0001}上映哦！」
zh_txt_0d5c73a4_000484_0016	txt_0d5c73a4_000484_0016	message	msg/fld/011.m	0x484	16	chunk_0113	auto_adjusted_structure_residue	add_open_quote	strip_prefix_before_open_quote	52	83 43 83 60 83 83 83 43 83 60 83 83 81 45 81 45 81 45 81 45 81 45 81 45 81 40 83 43 83 60 83 83 83 43 83 60 83 83 81 45 81 45 81 45 03 01 00 00 03 00 02 00	イチャイチャ・・・・・・　イチャイチャ・・・{CTRL_0103}{CTRL_0000}{CTRL_0003}{CTRL_0002}	CTRL_0103 CTRL_0000 CTRL_0003 CTRL_0002 CTRL_0001	CTRL_0103 CTRL_0000 CTRL_0003 CTRL_0002 CTRL_0001	CTRL_0103 CTRL_0000 CTRL_0003 CTRL_0002 CTRL_0001	74	82	8		「イチャイチャ・・・・・・　イチャイチャ・・・{CTRL_0103}{CTRL_0000}{CTRL_0003}{CTRL_0002}「・・・・・・・・・・・・なんだい？{CTRL_0001}ようが　ないなら　じゃま　しないでくれる？」	亲热亲热……亲热……{CTRL_0103}{CTRL_0000}{CTRL_0003}{CTRL_0002}「………………什么事？{CTRL_0001}没事的话别打扰我？」	「亲热亲热……亲热……{CTRL_0103}{CTRL_0000}{CTRL_0003}{CTRL_0002}「………………什么事？{CTRL_0001}没事的话别打扰我？」
