id	zh_text	note
zh_txt_2f7be4b8_000C8E_0116	木叶护腿	short equip leg description
zh_txt_2f7be4b8_000CB0_0117	鞋藏武器	short equip leg description
zh_txt_2f7be4b8_000CD8_0118	沙漠护腿	short equip leg description
zh_txt_2f7be4b8_000CFA_0119	中忍护腿	short equip leg description
zh_txt_2f7be4b8_000D1A_0120	查克拉提速	short equip leg description
zh_txt_2f7be4b8_000D3A_0121	行家护腿	short equip leg description
zh_txt_2f7be4b8_000D60_0122	龙鳞护腿	short equip leg description
zh_txt_2f7be4b8_000D82_0123	上忍护腿	short equip leg description
zh_txt_2f7be4b8_000DA8_0124	雾隐护腿	short equip leg description
zh_txt_2f7be4b8_000E14_0127	暗部护腿	short equip leg description
zh_txt_2f7be4b8_000E66_0129	风影绑腿	short equip leg description
zh_txt_2f7be4b8_000E84_0130	火影绑腿	short equip leg description
zh_txt_2f7be4b8_000EA0_0131	极速但封术	short equip leg description
zh_txt_2f7be4b8_000EEC_0133	三忍绑腿	short equip leg description
zh_txt_2f7be4b8_000F1A_0135	神速	short equip leg description
zh_txt_2f7be4b8_000F32_0136	未装护腿	short equip leg description
zh_txt_876c4bf1_0066B4_0625	查克护腿	short equip item name
zh_txt_876c4bf1_0066E4_0626	查克护腿	short equip item name
zh_txt_876c4bf1_006AF8_0651	影叶绑腿	short equip item name
